Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton)
Januari,38111,15,90.30 
Februari,38111,1948,11767.87 
Maret,38111,24877,151724.82 
April,38111,5218,32095.92 
Mei,38111,671,3983.73 
Juni,38111,2591,59735.42 
Juli,38111,2874,63961.14 
Agustus,38111,974,17902.15 
September,38111,671,16069.38 
Oktober,38111,1581,9797.46 
November,38111,891,6504.30 
Desember,38111,97,630.50 
Januari,38200,302.16,1988.21 
Februari,38200,2707.72,17925.11 
Maret,38200,21900.53,145529.02 
April,38200,6491,42535.52 
Mei,38200,1981.57,12105.41 
Juni,38200,10696.36,65237.10 
Juli,38200,10376.66,63868.34 
Agustus,38200,1713.52,10263.98 
September,38200,2843.20 ,16746.45 
Oktober,38200,2037.12,12801.26 
November,38200,686.19,4303.10 
Desember,38200,79.93,498.52 
Januari,37558,73,476.33 
Februari,37558,720,4698.00 
Maret,37558,22541,147080.02 
April,37558,6775,44206.87 
Mei,37558,1742,11366.55 
Juni,37558,11359,74117.47 
Juli,37558,8454,55162.35 
Agustus,37558,3229,21069.22 
September,37558,2623,17115.07 
Oktober,37558,416,2714.40 
November,37558,2928,19105.20 
Desember,37558,58,378.45 
Januari,38053,268,1726.20 
Februari,38053,962,6253.20 
Maret,38053,24524.4,154993.60 
April,38053,7582.2,46114.90 
Mei,38053,903.5,5805.30 
Juni,38053,10279.2,66146.60 
Juli,38053,11016.1,70568.90 
Agustus,38053,4300.4,26339.80 
September,38053,1517.6,9721.80 
Oktober,38053,1228.1,7921.40 
November,38053,3410.5,22110.10 
Desember,38053,313.9,2010.90 
Januari,35779,1014.6,6963.00 
Februari,35779,16619.6,114260.00 
Maret,35779,13043.1,86737.00 
April,35779,2602.3,17318.00 
Mei,35779,7856.2,49808.00 
Juni,35779,10200.2,63853.00 
Juli,35779,5387.1,33696.00 
Agustus,35779,3822.9,23817.00 
September,35779,2807.1,18106.00 
Oktober,35779,2776.9,18508.00 
November,35779,1558.7,10568.00 
Desember,35779,274.9,1864.00 
