Tahun,Bulan,curah hujan (mm)
2013,Januari,343.7
2013,Februari,201.1
2013,Maret,262.8
2013,April,197.2
2013,Mei,206.7
2013,Juni,128
2013,Juli,91.7
2013,Agustus,35
2013,September,0
2013,Oktober,15.06
2013,November,161.8
2013,Desember,350.3
2014,Januari,373.7
2014,Februari,243.4
2014,Maret,319.6
2014,April,316.1
2014,Mei,202
2014,Juni,224.4
2014,Juli,171.5
2014,Agustus,4
2014,September,0
2014,Oktober,0
2014,November,0
2014,Desember,0
2015,Januari,270
2015,Februari,324
2015,Maret,259
2015,April,225
2015,Mei,77
2015,Juni,0
2015,Juli,0
2015,Agustus,0
2015,September,0
2015,Oktober,0
2015,November,63
2015,Desember,125
2016,Januari,224
2016,Februari,308
2016,Maret,266
2016,April,224
2016,Mei,266
2016,Juni,238
2016,Juli,224
2016,Agustus,140
2016,September,266
2016,Oktober,322
2016,November,224
2016,Desember,224
2017,Januari,220
2017,Februari,290
2017,Maret,298
2017,April,223
2017,Mei,199
2017,Juni,169
2017,Juli,178
2017,Agustus,261
2017,September,0
2017,Oktober,0
2017,November,370
2017,Desember,178
2018,Januari,296.1
2018,Februari,273.9
2018,Maret,250.6
2018,April,177.3
2018,Mei,41.3
2018,Juni,0
2018,Juli,0
2018,Agustus,0
2018,September,133.3
2018,Oktober,142
2018,November,317.1
2018,Desember,311.3
2019,Januari,330.5
2019,Februari,260.5
2019,Maret,404
2019,April,256.33
2019,Mei,95.16
2019,Juni,0
2019,Juli,0
2019,Agustus,0
2019,September,0
2019,Oktober,9
2019,November,60.33
2019,Desember,149.5
2020,Januari,589.9
2020,Februari,400
2020,Maret,163.8
2020,April,235.6
2020,Mei,298.8
2020,Juni,115.4
2020,Juli,51.8
2020,Agustus,19.7
2020,September,2
2020,Oktober,84.5
2020,November,239.7
2020,Desember,543.1
2021,Januari,732.7
2021,Februari,114.5
2021,Maret,93.7
2021,April,117.5
2021,Mei,99.9
2021,Juni,112
2021,Juli,9.8
2021,Agustus,8.3
2021,September,213.8
2021,Oktober,260.3
2021,November,467.7
2021,Desember,255.8
2022,Januari,213
2022,Februari,296
2022,Maret,232
2022,April,169
2022,Mei,134
2022,Juni,319
2022,Juli,150
2022,Agustus,514
2022,September,243
2022,Oktober,376
2022,November,526
2022,Desember,321
