Tahun,Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton/gkg)
2013,Januari,38111.00 ,15.00 ,9030.00 
2013,Februari,38111.00 ,1948.00 ,1176787.00 
2013,Maret,38111.00 ,24877.00 ,15172482.00 
2013,April,38111.00 ,5218.00 ,3209592.00 
2013,Mei,38111.00 ,671.00 ,398373.00 
2013,Juni,38111.00 ,2591.00 ,5973542.00 
2013,Juli,38111.00 ,2874.00 ,6396114.00 
2013,Agustus,38111.00 ,974.00 ,1790215.00 
2013,September,38111.00 ,671.00 ,1606938.00 
2013,Oktober,38111.00 ,1581.00 ,979746.00 
2013,November,38111.00 ,891.00 ,65043.00 
2013,Desember,38111.00 ,97.00 ,63050.00 
2014,Januari,38200.00 ,30216.00 ,198821.00 
2014,Februari,38200.00 ,270772.00 ,1792511.00 
2014,Maret,38200.00 ,2190053.00 ,14552902.00 
2014,April,38200.00 ,649100.00 ,4253552.00 
2014,Mei,38200.00 ,198157.00 ,1210541.00 
2014,Juni,38200.00 ,1069636.00 ,6523710.00 
2014,Juli,38200.00 ,107666.00 ,6386834.00 
2014,Agustus,38200.00 ,171352.00 ,1026398.00 
2014,September,38200.00 ,284320.00 ,1674645.00 
2014,Oktober,38200.00 ,203712.00 ,1280126.00 
2014,November,38200.00 ,68619.00 ,430310.00 
2014,Desember,38200.00 ,7993.00 ,49852.00 
2015,Januari,37558.00 ,73.00 ,476.32 
2015,Februari,37558.00 ,720.00 ,4698.00 
2015,Maret,37558.00 ,22541.00 ,147080.02 
2015,April,37558.00 ,6775.00 ,44206.87 
2015,Mei,37558.00 ,1742.00 ,11366.55 
2015,Juni,37558.00 ,11359.00 ,74117.47 
2015,Juli,37558.00 ,8454.00 ,55162.35 
2015,Agustus,37558.00 ,3229.00 ,21069.22 
2015,September,37558.00 ,2623.00 ,17115.07 
2015,Oktober,37558.00 ,416.00 ,2714.40 
2015,November,37558.00 ,2928.00 ,19105.20 
2015,Desember,37558.00 ,58.00 ,378.45 
2016,Januari,38053.00 ,268.00 ,1726.20 
2016,Februari,38053.00 ,962.00 ,6253.20 
2016,Maret,38053.00 ,24524.40 ,154993.60 
2016,April,38053.00 ,7582.40 ,46114.90 
2016,Mei,38053.00 ,903.50 ,5805.30 
2016,Juni,38053.00 ,10279.20 ,66146.60 
2016,Juli,38053.00 ,11016.10 ,70568.90 
2016,Agustus,38053.00 ,4300.40 ,26339.80 
2016,September,38053.00 ,1517.60 ,9721.80 
2016,Oktober,38053.00 ,1228.10 ,7921.40 
2016,November,38053.00 ,3410.50 ,22110.10 
2016,Desember,38053.00 ,313.90 ,2010.90 
2017,Januari,35779.00 ,1014.60 ,6963.00 
2017,Februari,35779.00 ,16619.60 ,114260.00 
2017,Maret,35779.00 ,13043.10 ,86737.00 
2017,April,35779.00 ,2602.30 ,17318.00 
2017,Mei,35779.00 ,7856.20 ,49808.00 
2017,Juni,35779.00 ,10200.20 ,63853.00 
2017,Juli,35779.00 ,5387.10 ,33696.00 
2017,Agustus,35779.00 ,3822.90 ,23817.00 
2017,September,35779.00 ,2807.10 ,18106.00 
2017,Oktober,35779.00 ,2776.90 ,18508.00 
2017,November,35779.00 ,1558.70 ,10568.00 
2017,Desember,35779.00 ,274.90 ,1864.00 
2018,Januari,43573.00 ,449.24 ,2781.16 
2018,Februari,43573.00 ,16598.03 ,102755.27 
2018,Maret,43573.00 ,9352.41 ,57899.01 
2018,April,43573.00 ,2512.02 ,15551.44 
2018,Mei,43573.00 ,9882.90 ,57103.19 
2018,Juni,43573.00 ,7680.37 ,44377.02 
2018,Juli,43573.00 ,3594.00 ,20766.00 
2018,Agustus,43573.00 ,1793.23 ,10361.25 
2018,September,43573.00 ,2663.34 ,18230.62 
2018,Oktober,43573.00 ,1703.87 ,11663.03 
2018,November,43573.00 ,925.73 ,6336.64 
2018,Desember,43573.00 ,566.50 ,3877.70 
2019,Januari,41212.00 ,1069.39 ,6321.88 
2019,Februari,41212.00 ,4308.22 ,25468.78 
2019,Maret,41212.00 ,21148.74 ,125024.39 
2019,April,41212.00 ,2345.39 ,13865.17 
2019,Mei,41212.00 ,2836.33 ,16753.40 
2019,Juni,41212.00 ,13630.76 ,80513.07 
2019,Juli,41212.00 ,6908.50 ,40806.57 
2019,Agustus,41212.00 ,2415.93 ,14270.22 
2019,September,41212.00 ,2202.78 ,14105.22 
2019,Oktober,41212.00 ,1951.56 ,12496.56 
2019,November,41212.00 ,2224.75 ,14245.90 
2019,Desember,41212.00 ,600.70 ,3846.50 
2020,Januari,37637.40 ,1026.26 ,6451.09 
2020,Februari,37637.40 ,5353.81 ,33654.14 
2020,Maret,37637.40 ,17545.89 ,110293.75 
2020,April,37637.40 ,10094.10 ,63451.68 
2020,Mei,37637.40 ,1020.28 ,6057.83 
2020,Juni,37637.40 ,5171.39 ,30704.71 
2020,Juli,37637.40 ,15226.85 ,90408.20 
2020,Agustus,37637.40 ,3575.24 ,21227.70 
2020,September,37637.40 ,3298.64 ,18754.71 
2020,Oktober,37637.40 ,2356.05 ,13395.53 
2020,November,37637.40 ,2295.09 ,13048.93 
2020,Desember,37637.40 ,47.20 ,268.36 
2021,Januari,37637.40 ,2514.40 ,2514.40 
2021,Februari,37637.40 ,6284.78 ,38615.05 
2021,Maret,37637.40 ,13961.09 ,90703.72 
2021,April,37637.40 ,3852.74 ,23672.07 
2021,Mei,37637.40 ,876.32 ,5377.67 
2021,Juni,37637.40 ,15578.02 ,95596.82 
2021,Juli,37637.40 ,6054.77 ,37155.99 
2021,Agustus,37637.40 ,2002.21 ,12286.86 
2021,September,37637.40 ,532.89 ,3529.16 
2021,Oktober,37637.40 ,3105.13 ,20564.27 
2021,November,37637.40 ,1541.49 ,10208.79 
2021,Desember,37637.40 ,319.93 ,2118.79 
2022,Januari,37637.40 ,95.22 ,618.63 
2022,Februari,37637.40 ,15729.75 ,102194.51 
2022,Maret,37637.40 ,13961.09 ,90703.72 
2022,April,37637.40 ,2149.54 ,13965.33 
2022,Mei,37637.40 ,2180.74 ,14177.11 
2022,Juni,37637.40 ,16543.66 ,107551.27 
2022,Juli,37637.40 ,4256.08 ,27669.02 
2022,Agustus,37637.40 ,2254.27 ,14655.14 
2022,September,37637.40 ,1053.19 ,6836.77 
2022,Oktober,37637.40 ,3522.05 ,22863.35 
2022,November,37637.40 ,1279.25 ,8304.24 
2022,Desember,37637.40 ,262.36 ,1703.11 
