Tahun,Bulan,curah hujan (mm)
2018,Januari,296.1
2018,Februari,273.9
2018,Maret,250.6
2018,April,177.3
2018,Mei,41.3
2018,Juni,0.0
2018,Juli,0.0
2018,Agustus,0.0
2018,September,133.3
2018,Oktober,142.0
2018,November,317.1
2018,Desember,311.3
2019,Januari,330.5
2019,Februari,260.5
2019,Maret,404.0
2019,April,256.33
2019,Mei,95.16
2019,Juni,0.0
2019,Juli,0.0
2019,Agustus,0.0
2019,September,0.0
2019,Oktober,9.0
2019,November,60.33
2019,Desember,149.5
2020,Januari,589.9
2020,Februari,400.0
2020,Maret,163.8
2020,April,235.6
2020,Mei,298.8
2020,Juni,115.4
2020,Juli,51.8
2020,Agustus,19.7
2020,September,2.0
2020,Oktober,84.5
2020,November,239.7
2020,Desember,543.1
2021,Januari,732.7
2021,Februari,114.5
2021,Maret,93.7
2021,April,117.5
2021,Mei,99.9
2021,Juni,112.0
2021,Juli,9.8
2021,Agustus,8.3
2021,September,213.8
2021,Oktober,260.3
2021,November,467.7
2021,Desember,255.8
2022,Januari,213.0
2022,Februari,296.0
2022,Maret,232.0
2022,April,169.0
2022,Mei,134.0
2022,Juni,319.0
2022,Juli,150.0
2022,Agustus,514.0
2022,September,243.0
2022,Oktober,376.0
2022,November,526.0
2022,Desember,321.0
